"(30, b'xtion_rgb_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_rgb_frame', (0.0, 0.0, 0.0), (0.0, 0.022, 0.0), (0.0, 0.0, 0.0, 1.0), 29)",30
"(31, b'xtion_depth_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_depth_frame', (0.0, 0.0, 0.0), (0.0, 0.025, 0.0), (0.0, 0.0, 0.0, 1.0), 30)",31
"(32, b'xtion_depth_optical_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_depth_optical_frame', (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.5, -0.49999999999755174, 0.5, 0.5000000000024483), 31)",32
"(33, b'xtion_rgb_optical_joint', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'xtion_rgb_optical_frame', (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.5, -0.49999999999755174, 0.5, 0.5000000000024483), 30)",33
"(34, b'arm_1_joint', 0, 22, 21, 1, 1.0, 1.0, 0.0, 2.74889357189, 43.0, 1.95, b'arm_1_link', (0.0, 0.0, 1.0), (0.11143999999999998, 0.01516, 0.02234), (0.0, 0.0, 0.7071067811848163, 0.7071067811882787), 24)",34
"(35, b'arm_2_joint', 0, 23, 22, 1, 1.0, 1.0, -1.57079632679, 1.0908307825, 43.0, 1.95, b'arm_2_link', (0.0, 0.0, 1.0), (0.063809, 0.041897000000000004, -0.018165), (-0.7071067811848163, 0.0, 0.0, 0.7071067811882787), 34)",35
"(36, b'arm_3_joint', 0, 24, 23, 1, 1.0, 1.0, -3.53429173529, 1.57079632679, 26.0, 2.35, b'arm_3_link', (0.0, 0.0, 1.0), (0.059067999999999996, -0.000229, 0.004442), (0.5, 0.49999999999755174, -0.5, 0.5000000000024483), 35)",36
"(37, b'arm_4_joint', 0, 25, 24, 1, 1.0, 1.0, -0.392699081699, 2.35619449019, 26.0, 2.35, b'arm_4_link', (0.0, 0.0, 1.0), (-0.027418, -0.022639, -0.087806), (0.5, 0.5, 0.49999999999755174, 0.5000000000024483), 36)",37
"(38, b'arm_5_joint', 0, 26, 25, 1, 1.0, 1.0, -2.09439510239, 2.09439510239, 3.0, 1.95, b'arm_5_link', (0.0, 0.0, 1.0), (-0.066342, 0.005334, 0.008867), (-1.7312262734492376e-12, 0.7071067811865475, 1.7311707622980066e-12, 0.7071067811865476), 37)",38
"(39, b'arm_6_joint', 0, 27, 26, 1, 1.0, 1.0, -1.41371669412, 1.41371669412, 6.6, 1.76, b'arm_6_link', (0.0, 0.0, 1.0), (-0.001078, 0.000151, 0.227173), (0.49999999999755174, 0.5, 0.5, 0.5000000000024483), 38)",39
